DevEUI,AppKey,CustVer,FwVer,Time,Position
,,,,2020-12-03 16:36:20,0
,,,,2020-12-03 16:36:20,1
,,,,2020-12-03 16:36:21,2
,,,,2020-12-03 16:36:21,3
,,,,2020-12-03 16:36:47,0
,,,,2020-12-03 16:36:47,1
,,,,2020-12-03 16:36:48,2
,,,,2020-12-03 16:36:48,3
,,,,2020-12-03 16:39:43,0
,,,,2020-12-03 16:39:44,1
,,,,2020-12-03 16:39:44,2
,,,,2020-12-03 16:39:45,3
,,,,2020-12-03 16:41:09,0
,,,,2020-12-03 16:41:09,1
cd31ade193d1a13d,cdb97078393f1a86768a434b0a0c293d,1234,00.61.G,2020-12-03 16:41:09,2
8ba9752f1030457a,8b21a8b6badefec130129b8589edcd7a,1234,00.61.G,2020-12-03 16:41:14,3
,,,,2020-12-03 16:42:59,0
cd31ade193d1a13d,cdb97078393f1a86768a434b0a0c293d,1234,00.61.G,2020-12-03 16:42:59,1
d15a48a5042c3dff,d1d2953caec286446ae1a60f9df1b5ff,1234,00.61.G,2020-12-03 16:43:02,2
cff5e962aa558c0e,cf7d34fb00bb37b5744e07c83388040e,1234,00.61.G,2020-12-03 16:43:06,3
,,,,2020-12-03 16:43:40,0
cd31ade193d1a13d,cdb97078393f1a86768a434b0a0c293d,1234,00.61.G,2020-12-03 16:43:40,1
d15a48a5042c3dff,d1d2953caec286446ae1a60f9df1b5ff,1234,00.61.G,2020-12-03 16:43:44,2
cff5e962aa558c0e,cf7d34fb00bb37b5744e07c83388040e,1234,00.61.G,2020-12-03 16:43:48,3
,,,,2020-12-03 16:45:52,0
,,,,2020-12-03 16:45:52,1
d15a48a5042c3dff,d1d2953caec286446ae1a60f9df1b5ff,1234,00.61.G,2020-12-03 16:45:52,2
,,,,2020-12-03 16:45:56,3
,,,,2020-12-03 16:47:51,0
8ba9752f1030457a,8b21a8b6badefec130129b8589edcd7a,1234,00.61.G,2020-12-03 16:47:51,1
d15a48a5042c3dff,d1d2953caec286446ae1a60f9df1b5ff,1234,00.61.G,2020-12-03 16:47:55,2
cff5e962aa558c0e,cf7d34fb00bb37b5744e07c83388040e,1234,00.61.G,2020-12-03 16:47:58,3
,,,,2020-12-03 16:49:16,0
8ba9752f1030457a,8b21a8b6badefec130129b8589edcd7a,1234,00.61.G,2020-12-03 16:49:16,1
d15a48a5042c3dff,d1d2953caec286446ae1a60f9df1b5ff,1234,00.61.G,2020-12-03 16:49:20,2
cff5e962aa558c0e,cf7d34fb00bb37b5744e07c83388040e,1234,00.61.G,2020-12-03 16:49:24,3
cd31ade193d1a13d,cdb97078393f1a86768a434b0a0c293d,1234,00.61.E,2020-12-03 16:52:23,0
